timestamp,key,mode,device,python,grid_idx,val_auc,val_acc,runtime_sec,status,hp/batch_size,hp/channel_growth,hp/channels_start,hp/class_weighting,hp/conv_blocks,hp/dropout,hp/emb_dim,hp/epochs,hp/grad_clip,hp/kernel_sizes,hp/label_smoothing,hp/learning_rate,hp/loss_fn,hp/optimizer,hp/pooling,hp/scheduler,hp/seed,hp/seq_len,hp/use_batchnorm,hp/vocab_size,hp/weight_decay
2025-09-19T03:50:10.774110+00:00,72c10a8fec9c3b0880f6df5acf7f8d33,scratch,cpu,3.12.4,36,0.8000728155339805,0.729064039408867,16.47,ok,64,x1.5,128,none,1,0.2,192,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:50:27.189410+00:00,8372c3ea874649e738db830d87a5d8ca,scratch,cpu,3.12.4,37,0.8021116504854369,0.7118226600985221,16.41,ok,64,x1.5,128,none,1,0.2,192,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:50:52.011978+00:00,6f187b282633429a46cc19da5038557d,scratch,cpu,3.12.4,38,0.7839563106796117,0.6970443349753694,24.81,ok,128,x1.5,160,none,2,0.25,160,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:51:06.370965+00:00,2e8bd07dabd9ba3516a3beea1cfa7615,scratch,cpu,3.12.4,39,0.805873786407767,0.7192118226600985,14.35,ok,128,x1.5,128,none,1,0.25,192,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T03:51:22.513796+00:00,6a160b5d9f43ebb8413715c548af467b,scratch,cpu,3.12.4,40,0.800121359223301,0.7118226600985221,16.13,ok,128,x1.5,128,none,1,0.25,192,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:51:36.881675+00:00,632506c93a58c0766d45faf7a9f5ebc1,scratch,cpu,3.12.4,41,0.801990291262136,0.7266009852216748,14.32,ok,128,x1.5,128,none,1,0.25,192,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:51:52.040306+00:00,340495d8e83d9075da892dd8cefdaad8,scratch,cpu,3.12.4,42,0.7966747572815533,0.7216748768472906,15.15,ok,64,x1.5,160,none,1,0.2,160,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:52:07.956540+00:00,8658d8bc427821f8860e41e383b877b2,scratch,cpu,3.12.4,43,0.7965533980582524,0.7093596059113301,15.91,ok,128,x1.5,160,none,1,0.2,160,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:52:34.248300+00:00,a68f95cbc346e89ac24dd033943958d7,scratch,cpu,3.12.4,44,0.780995145631068,0.7019704433497537,26.28,ok,64,x1.5,160,none,2,0.25,128,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T03:52:55.804492+00:00,bf884c7b2fe2f122c46487175fdec6d8,scratch,cpu,3.12.4,45,0.7695388349514563,0.6945812807881774,21.55,ok,64,x1.5,128,none,2,0.2,160,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:53:16.946761+00:00,4bd07b7cfca638fecaf48bc095565beb,scratch,cpu,3.12.4,46,0.7870631067961166,0.6822660098522167,21.13,ok,128,x1.5,128,none,2,0.25,128,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:53:33.125553+00:00,6484feb974e5088e41f06d125dd82774,scratch,cpu,3.12.4,47,0.8148543689320389,0.7339901477832512,16.16,ok,64,x1.5,128,none,1,0.2,192,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:53:45.844739+00:00,ac61a944e17218f01c280e5d56ad5947,scratch,cpu,3.12.4,48,0.7952184466019417,0.7487684729064039,12.71,ok,128,x1.5,160,none,1,0.2,128,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:54:05.676782+00:00,d53c7ae1e38f5083c2298dd0c1370d42,scratch,cpu,3.12.4,49,0.8089077669902911,0.7241379310344828,19.82,ok,64,x1.5,128,none,2,0.25,128,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:54:23.835839+00:00,3c97073b9e83feafe413f1b3df84ba02,scratch,cpu,3.12.4,50,0.7897330097087379,0.687192118226601,18.15,ok,64,x1.5,160,none,2,0.2,160,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0002
